Mouse,Group,Type,Session_ID,Channel,Region,TimeFrame,CSD_Val,Voltage_Val,Theta_Val
M5_Pten,Base,PTEN,m5s2,30,DG MML1,GZ,-237.7486690398183,-751.5083688204409,-0.02648901658117549
M5_Pten,Base,PTEN,m5s2,32,DG MML1,GZ,-90.63425371723802,-555.1297547387295,-0.040578311353364
M5_Pten,Base,PTEN,m5s2,34,DG GCL1,GZ,131.4470844884072,-190.5757716444672,-0.02758843897995034
M5_Pten,Base,PTEN,m5s2,36,DG GCL1,GZ,151.2992612777217,10.8827684746413,-0.02117503760220663
M5_Pten,Base,PTEN,m5s2,38,HIL,GZ,38.11054845010084,14.51986344134222,-0.01933673037607671
M5_Pten,Base,PTEN,m5s2,40,HIL,GZ,44.7210496471774,-5.59272140753117,-0.004432069488965654
M5_Pten,Base,PTEN,m5s2,42,HIL,GZ,23.71904926915322,-62.9187411949284,-0.008346090144436021
M5_Pten,Base,PTEN,m5s2,44,HIL,GZ,3.9279076360887,-135.6006059490267,-0.005245744749785186
M5_Pten,Base,PTEN,m5s2,46,HIL,GZ,-78.7727602066532,-253.1087906634222,-0.0107847504087819
M5_Pten,Base,PTEN,m5s2,48,HIL,GZ,-65.75258316532268,-384.8776895491798,-0.01829214837663546
M5_Pten,Base,PTEN,m5s2,50,HIL,GZ,-49.06832787298367,-793.1378474001017,-0.0329363168133693
M5_Pten,Base,PTEN,m5s2,52,HIL,GZ,-8.542952998991893,-1163.968445824794,-0.03299730679314458
M5_Pten,Base,PTEN,m5s2,54,DG GCL2,GZ,32.432310042843,-1446.592737416752,-0.03539755652152478
M5_Pten,Base,PTEN,m5s2,56,DG GCL2,GZ,-115.2107484879031,-1485.002361360143,-0.05652698060389463
M5_Pten,Base,PTEN,m5s2,58,DG MML2,GZ,-441.8512159778223,-1263.070528624488,-0.08012233112015135
M5_Pten,Base,PTEN,m5s2,60,DG MML2,GZ,-366.060318485383,-517.1939036885246,-0.08319255888802542
M5_Pten,Base,PTEN,m5s2,62,DG MML2,GZ,315.402123235887,623.998423091701,-0.06151952801887249
M5_Pten,Base,PTEN,m5s2,64,DG OML2,GZ,,1352.870753554047,
M5_Pten,CNO,PTEN,m5s7,2,CA1 SP,AS,-2.514371917245157,-83.60468712373114,-0.003178540980764888
M5_Pten,CNO,PTEN,m5s7,4,CA1 SP,AS,-2.514371917245157,-107.1220176348547,-0.008927022084722026
M5_Pten,CNO,PTEN,m5s7,6,CA1,AS,0.6826315041131971,-127.8562427061722,-0.01026673727257999
M5_Pten,CNO,PTEN,m5s7,8,CA1,AS,-6.749446870290231,-156.6699558839193,-0.003139856721566098
M5_Pten,CNO,PTEN,m5s7,10,CA1,AS,-2.116115850212363,-161.515412842231,-0.004399759582741377
M5_Pten,CNO,PTEN,m5s7,12,CA1 SLM,AS,-2.041756431682729,-170.445142021247,-0.006312909620670268
M5_Pten,CNO,PTEN,m5s7,14,CA1 SLM,AS,1.358355576860499,-173.6421613348401,-0.006429218292701317
M5_Pten,CNO,PTEN,m5s7,16,DG OML1,AS,4.771345847272329,-177.3963118701837,-0.01083799705436127
M5_Pten,CNO,PTEN,m5s7,18,DG OML1,AS,-0.4101141029611578,-184.0809639488089,-0.009556377203743112
M5_Pten,CNO,PTEN,m5s7,20,DG MML1,AS,28.24574123127512,-189.0737627410437,-0.01471506070459883
M5_Pten,CNO,PTEN,m5s7,22,DG MML1,AS,30.12111720962161,-221.7919259786464,-0.0128239090456281
M5_Pten,CNO,PTEN,m5s7,24,DG GCL1,AS,-68.98506897663957,-282.686243696049,-0.01418813409687764
M5_Pten,CNO,PTEN,m5s7,26,DG GCL1,AS,-103.4962853071766,-265.5905207445724,-0.0149167156890158
M5_Pten,CNO,PTEN,m5s7,28,DG GCL1,AS,-131.3761501012598,-132.670793154569,-0.01359250133200404
M5_Pten,CNO,PTEN,m5s7,30,DG GCL1,AS,20.95214598449774,150.754656110491,-0.01473383138949666
M5_Pten,CNO,PTEN,m5s7,32,HIL,AS,134.075483963966,411.2192005820012,-0.006608548861281057
M5_Pten,CNO,PTEN,m5s7,34,HIL,AS,22.73118587406091,504.0166885385021,-0.02320804697749891
M5_Pten,CNO,PTEN,m5s7,36,HIL,AS,-3.221973869371126,570.3129703361184,-0.007797914595386471
M5_Pten,CNO,PTEN,m5s7,38,HIL,AS,0.3616450082920442,640.1276014652491,-0.007042410002167415
M5_Pten,CNO,PTEN,m5s7,40,HIL,AS,37.42163661278031,709.2233238378501,-0.007003701936354884
