Mouse,Channel,TimeFrame,Region,Base_CSD,CNO_CSD,Delta_CSD,Base_Voltage,CNO_Voltage,Delta_Voltage,Base_Theta,CNO_Theta,Delta_Theta
M34_ptenblind,54,AS,DG GCL2,-340.2754059228142,-109.6313721862727,230.64403373654147,-975.1407734091351,-912.6131230723454,62.52765033678975,-0.06232871027733537,-0.03083033807764243,0.03149837219969294
M34_ptenblind,54,GZ,DG GCL2,-490.4347081338207,-155.3400980162731,335.09461011754763,-1124.919203461193,-1386.631342510429,-261.71213904923593,-0.06232871027733537,-0.03083033807764243,0.03149837219969294
M34_ptenblind,56,AS,DG GCL2,-72.9142601227821,-182.8212772880891,-109.90701716530701,-661.8013500672653,-907.528391658871,-245.7270415916057,-0.04925656249551634,-0.03514456267894977,0.014111999816566571
M34_ptenblind,56,GZ,DG GCL2,-93.86468702746977,-363.5757375972061,-269.71105056973636,-659.943377385374,-1294.536152824026,-634.592775438652,-0.04925656249551634,-0.03514456267894977,0.014111999816566571
M34_ptenblind,58,AS,DG GCL2,46.76139812030447,-149.8619918628117,-196.62338998311617,-258.3435185222705,-682.5275884694996,-424.18406994722915,-0.03374705338065587,-0.03689782279683093,-0.0031507694161750643
M34_ptenblind,58,GZ,DG GCL2,44.69643869707664,-234.7483832715293,-279.44482196860594,-93.88232621990264,-779.9739792977896,-686.0916530778869,-0.03374705338065587,-0.03689782279683093,-0.0031507694161750643
M34_ptenblind,60,AS,DG MML2,235.3858655066135,131.1291383486138,-104.2567271579997,104.7836873541235,-270.124741821651,-374.90842917577453,-0.0485090533650132,-0.02121497456431325,0.027294078800699947
M34_ptenblind,60,GZ,DG MML2,326.4297977570565,282.1267123595911,-44.303085397465395,426.8433617763832,50.26159353501895,-376.5817682413642,-0.0485090533650132,-0.02121497456431325,0.027294078800699947
M34_ptenblind,62,AS,DG MML2,111.4906642747962,182.9027281131543,71.4120638383581,225.7603055708636,14.15111132465171,-211.6091942462119,-0.05290286564113428,-0.05422550902382083,-0.0013226433826865544
M34_ptenblind,62,GZ,DG MML2,203.7737446446573,339.6302675871256,135.8565229424683,618.3819379962858,605.2890036089359,-13.092934387349942,-0.05290286564113428,-0.05422550902382083,-0.0013226433826865544
M34_ptenblind,64,AS,DG MML2,111.4906642747962,182.9027281131543,71.4120638383581,226.5761126126491,111.0438610861552,-115.5322515264939,,,
M34_ptenblind,64,GZ,DG MML2,,,,607.0609170882428,785.686483986205,178.62556689796213,,,
M3_pten,2,AS,CA1|CA1 SP,-4.125152069921946,1.184917167019658,5.3100692369416045,-290.0443809161048,-202.078601631386,87.96577928471879,-0.005133323572545086,-0.003881841587836825,0.0012514819847082616
M3_pten,2,GZ,CA1|CA1 SP,,,,-392.7841527629006,-291.3029571699966,101.48119559290399,-0.005133323572545086,-0.003881841587836825,0.0012514819847082616
M3_pten,4,AS,CA1 SP,-4.125152069921946,1.184917167019658,5.3100692369416045,-294.3671135486904,-204.0670139001448,90.3000996485456,-0.005734652142995264,-0.004215214138159461,0.0015194380048358025
